"id","phase","priority","area","component_scope","current_external_style_surface","top_level_token_audit","todo","acceptance_criteria","status"
"TT-001","Foundation","P0","Theme API","PaletteTheme, PaletteMaterialTheme","Top-level colors/spacing/shapes/typography/strings/darkTheme plus Material3 bridge.","Basic global token injection exists but no component-level theme registry.","Design PaletteComponentThemes and add it to PaletteTheme/PaletteMaterialTheme as the single top-level component override entry.","Project can override at least button/textField/card/select styles once at app root without passing per-instance style params.","DONE"
"TT-002","Foundation","P0","Token taxonomy","Core tokens","PaletteColors has primary/onPrimary/border/surface/onSurface/hint/error/onError/success/warning; spacing/shapes/typography are minimal.","Color coverage is useful but missing common library tokens for secondary text, disabled states, hover/pressed, elevated surfaces, dividers, overlays, shadows, info/danger aliases, inverse colors.","Define a public token taxonomy: semantic colors, state colors, surface layers, text levels, border/divider, shadow/elevation, opacity, motion, size, radius, spacing, typography.","Token names are documented with meaning and examples; component authors can map major style surfaces without inventing ad hoc constants.","DONE"
"TT-003","Foundation","P0","Precedence model","All components","Many XxxDefaults expose local color functions or colors() builders; dimensions often constants.","No consistent global-to-local precedence is documented in code/tests.","Implement and document precedence: explicit component param > XxxDefaults param > component theme token > semantic token > controlled fallback.","At least 5 representative components have tests proving explicit params still override top-level theme tokens.","DONE"
"TT-004","Foundation","P0","Component token contract","All XxxDefaults","Defaults objects contain many Dp/sp/Float constants and composable color functions.","No standard shape for component token classes.","Create a component token pattern: immutable XxxTokens/XxxTheme with colors, sizes, typography, radius, border, elevation, motion only where they are major user-facing style surfaces.","New components can follow a documented template; old components can be migrated incrementally without API breaks.","DONE"
"TT-005","Foundation","P0","Copy/derive ergonomics","PaletteColors, PaletteSpacing, PaletteShapes, PaletteTypography, component tokens","PaletteColors is a class with manual equals/hashCode; users must construct whole token objects.","Partial customization is not as ergonomic as mainstream theme overrides.","Provide copy/derive helpers or data-class-like APIs for theme tokens while preserving binary/API expectations.","User can change primary color or default radius by overriding only that field and keeping all other defaults.","DONE"
"TT-006","Foundation","P0","Form/control tokens","FormTokens, ComponentSize, ComponentStatus","FormTokens and ComponentSize encode heights, padding, radius, font, border, motion.","Hardcoded object/enum prevents top-level project density and size control.","Move form field size/radius/padding/border/focus/motion values into top-level form/control tokens; keep old API as compatibility facade where needed.","TextField/Select/Cascader/InputNumber/SearchBar can share one top-level control density theme.","DONE"
"TT-007","Foundation","P1","Material3 bridge","PaletteMaterialTheme, toMaterialScheme","Material ColorScheme is derived from the limited PaletteColors set.","Bridge is coarse and duplicates several Material slots from primary/surface.","Expand mapping or allow top-level Material color overrides to be generated from richer Palette semantic tokens.","Material3 components used by app and Palette components visually align after only Palette token overrides.","DONE"
"TT-008","Foundation","P1","Validation tooling","All Defaults files","Manual review currently needed to find raw Color/dp/sp style constants.","No guardrail prevents new hardcoded major style values.","Add a static audit task or convention test that flags major style constants in XxxDefaults not backed by theme tokens, with allowlist for algorithmic constants.","CI fails or warns when a new component introduces unowned public style constants.","DONE"
"TT-009","Foundation","P1","Migration safety","All components","Many public constants are likely used externally.","Direct replacement could be source or binary breaking.","Create migration rules: keep existing constants as deprecated aliases where public, add token-backed functions next to them, then remove in a major version only if needed.","Existing demos/tests compile after each migration step; deprecations include replacement guidance.","DONE"
"TT-010","Foundation","P1","Documentation","README, docs, Demo app","Theme usage exists in demo but no component-theme customization guide.","Users cannot discover which top-level token controls which component style.","Write a theming guide with examples for brand theme, compact density, rounded/sharp shapes, dark mode, and per-component overrides.","Docs include a token-to-component matrix generated from this audit and kept current.","DONE"
"TT-011","Core","P0","Colors","PaletteColors, PaletteSemanticColors, PaletteColorsExtensions","Several derived colors exist as extensions; many alpha variants are in component files.","Current tokens partially cover colors; disabled/hover/selected/background alpha variants are scattered.","Promote repeated derived colors into semantic/state tokens: textSecondary, textDisabled, borderHover, borderFocus, bgDisabled, bgHover, bgSelected, surfaceElevated, overlay, divider, shadow.","Components stop hardcoding repeated alpha formulas for major states; users can globally tune disabled/hover/selected appearance.","DONE"
"TT-012","Core","P0","Spacing/radius/typography","PaletteSpacing, PaletteShapes, PaletteTypography","Spacing only none/xs/s/m/l/xl; shapes small/medium/large; typography title/body/label.","Does not cover common component sizes, control density, page spacing, overlay radius, compact/large variants.","Extend tokens with density-aware component sizing, radius scale, typography scale, line heights, icon sizes and content padding aliases.","Button/Form/List/Table/Menu can derive height/padding/font/radius from shared top-level sizing tokens.","DONE"
"TT-013","Core","P1","Motion/elevation/opacity","FormTokens and many Defaults constants","AnimationDuration, Elevation, DisabledAlpha, OverlayAlpha appear in components.","No top-level motion/elevation/opacity tokens.","Add PaletteMotion, PaletteElevation and PaletteOpacity tokens for common durations, easing labels, shadow/elevation levels, disabled/scrim/hover opacity.","Toast/Dialog/Drawer/Menu/Switch/Segmented/Carousel animation and elevation can be globally adjusted.","DONE"
"TT-014","Foundation","P1","Foundation components","BorderContainer, CenterVerticallyRow","BorderContainer exposes width/height/border/corner/padding/colors; layout row has no style surface.","BorderContainer color uses PaletteDefaults but size/radius are hardcoded.","Add foundation/control container tokens for height, width policy, border width, radius, padding; keep layout utilities token-free unless they render style.","BorderContainer can be aligned with TextField density from top-level control tokens.","DONE"
"TT-015","Base","P0","Text and Screen","PText, Screen","PText uses LocalTextStyle/LocalContentColor; TextDefaults reads PaletteTheme; Screen has ScreenColors.","Text is mostly covered; Screen color covered but background/content variants are minimal.","Add top-level text roles and screen/surface tokens: primary/secondary/tertiary/disabled/inverse text, page background, app background, elevated surface.","Changing text hierarchy and app background at root affects PText/Screen and components using text roles.","DONE"
"TT-016","Action","P0","Button","PButton, ButtonDefaults, ButtonSize","External surface: type, size, width, disabled/loading; colors implicit; size enum carries padding/font/radius.","Colors partly tokenized; size, padding, radius, width, disabled alpha are hardcoded; danger/plain contain Color.Black alpha.","Add ButtonTokens for variants primary/danger/plain, content/container/border/hover/pressed/disabled, sizes, padding, font, radius, loading spacing, default width.","All button visual defaults are controlled by PaletteTheme.componentThemes.button; existing ButtonSize remains as compatibility facade.","DONE"
